0.005,0.001,0.001,0.001,0.009,0.001,0.001,0.002,0.003,0.001
0.007,0.007,0.007,0.004,0.005,0.005,0.004,0.006,0.006,0.005
0.022,0.023,0.023,0.024,0.028,0.078,0.018,0.024,0.022,0.022
0.039,0.035,0.036,0.036,0.036,0.036,0.034,0.037,0.035,0.049
0.076,0.069,0.069,0.084,0.069,0.089,0.073,0.093,0.094,0.083
0.121,0.126,0.14,0.12,0.122,0.126,0.118,0.139,0.125,0.121
0.19,0.21,0.254,0.192,0.197,0.226,0.195,0.213,0.198,0.218
0.322,0.394,0.448,0.321,0.329,0.326,0.289,0.362,0.35,0.292
0.463,0.433,0.573,0.576,0.473,0.527,0.446,0.435,0.429,0.447
0.71,0.689,0.706,0.619,0.645,0.608,0.628,0.744,0.789,0.867
