0.003,0.003,0.004,0.005,0.004,0.004,0.004,0.003,0.004,0.004
0.025,0.027,0.026,0.024,0.025,0.029,0.026,0.025,0.028,0.025
0.087,0.095,0.093,0.082,0.083,0.088,0.083,0.087,0.086,0.095
0.201,0.208,0.208,0.211,0.2,0.211,0.201,0.212,0.203,0.216
0.399,0.398,0.404,0.553,0.411,0.427,0.397,0.463,0.418,0.401
0.729,0.765,0.714,0.698,0.739,0.749,0.732,0.71,0.701,0.704
1.192,1.159,1.149,1.169,1.157,1.15,1.172,1.192,1.173,1.162
1.923,1.818,1.806,1.885,1.908,2.096,1.834,1.804,1.81,1.805
2.679,2.62,2.78,2.651,2.61,2.66,2.667,3.087,2.743,2.66
3.784,3.781,3.827,3.794,4.16,3.848,3.728,3.871,3.806,3.815
